Year,Month,Group,Sub Group,Description,Rural,Urban,Combined,,
2014,January,1,1.1.01,Cereals and products,10.6,9.68,10.33,,
2014,February,1,1.1.01,Cereals and products,9.34,7.97,8.88,,
2014,March,1,1.1.01,Cereals and products,8.98,7.2,8.35,,
2014,April,1,1.1.01,Cereals and products,9.07,6.89,8.33,,
2014,May,1,1.1.01,Cereals and products,8.48,6.33,7.84,,
2014,June,1,1.1.01,Cereals and products,7.48,5.21,6.77,,
2014,July,1,1.1.01,Cereals and products,7.32,5.09,6.62,,
2014,August,1,1.1.01,Cereals and products,6.56,5.49,6.14,,
2014,September,1,1.1.01,Cereals and products,5.98,4.72,5.58,,
2014,October,1,1.1.01,Cereals and products,5.42,4.79,5.21,,
2014,November,1,1.1.01,Cereals and products,4.6,3.92,4.4,,
2014,December,1,1.1.01,Cereals and products,3.38,2.9,3.19,,
2015,January,1,1.1.01,Cereals and products,3.53,2.31,3.18,,
2015,February,1,1.1.01,Cereals and products,3.35,1.97,2.91,,
2015,March,1,1.1.01,Cereals and products,2.66,1.56,2.32,,
2015,April,1,1.1.01,Cereals and products,2.58,1.06,2.15,,
2015,May,1,1.1.01,Cereals and products,2.66,0.9,2.06,,
2015,June,1,1.1.01,Cereals and products,2.82,0.41,1.98,,
2015,July,1,1.1.01,Cereals and products,1.89,-0.48,1.06,,
2015,August,1,1.1.01,Cereals and products,2.38,-1.36,1.22,,
2015,September,1,1.1.01,Cereals and products,2.29,-0.64,1.38,,
2015,October,1,1.1.01,Cereals and products,2.45,-0.8,1.46,,
2015,November,1,1.1.01,Cereals and products,2.77,-0.4,1.7,,
2015,December,1,1.1.01,Cereals and products,3.19,0.24,2.28,,
2016,January,1,1.1.01,Cereals and products,3.01,0.56,2.19,,
2016,February,1,1.1.01,Cereals and products,3,0.4,2.18,,
2016,March,1,1.1.01,Cereals and products,3.24,0.65,2.43,,
2016,April,1,1.1.01,Cereals and products,3.33,0.89,2.51,,
2016,May,1,1.1.01,Cereals and products,3.32,0.97,2.59,,
2016,June,1,1.1.01,Cereals and products,3.63,1.86,3.07,,
2016,July,1,1.1.01,Cereals and products,4.27,2.92,3.88,,
2016,August,1,1.1.01,Cereals and products,4.33,3.66,4.11,,
2016,September,1,1.1.01,Cereals and products,4.56,3.81,4.25,,
2016,October,1,1.1.01,Cereals and products,4.54,4.13,4.4,,
2016,November,1,1.1.01,Cereals and products,4.68,5,4.78,,
2016,December,1,1.1.01,Cereals and products,4.99,5.87,5.25,,
2017,January,1,1.1.01,Cereals and products,4.97,6.01,5.31,,
2017,February,1,1.1.01,Cereals and products,4.88,6.41,5.3,,
2017,March,1,1.1.01,Cereals and products,4.95,6.33,5.38,,
2017,April,1,1.1.01,Cereals and products,4.55,6.24,5.06,,
2017,May,1,1.1.01,Cereals and products,4.31,6.08,4.81,,
2017,June,1,1.1.01,Cereals and products,3.81,5.56,4.39,,
2017,July,1,1.1.01,Cereals and products,3.63,4.73,3.97,,
2017,August,1,1.1.01,Cereals and products,3.61,4.39,3.87,,
2017,September,1,1.1.01,Cereals and products,3.36,4.29,3.7,,
2017,October,1,1.1.01,Cereals and products,3.5,4.04,3.68,,
2017,November,1,1.1.01,Cereals and products,3.26,3.15,3.27,,
2017,December,1,1.1.01,Cereals and products,2.87,2.13,2.65,,
2018,January,1,1.1.01,Cereals and products,2.63,1.82,2.41,,
2018,February,1,1.1.01,Cereals and products,2.33,1.51,2.1,,
2018,March,1,1.1.01,Cereals and products,2.4,1.73,2.18,,
2018,April,1,1.1.01,Cereals and products,2.93,1.73,2.56,,
2018,May,1,1.1.01,Cereals and products,3.23,1.81,2.78,,
2018,June,1,1.1.01,Cereals and products,3.07,1.81,2.7,,
2018,July,1,1.1.01,Cereals and products,3.28,2.11,2.92,,
2018,August,1,1.1.01,Cereals and products,3.26,2.48,2.98,,
2018,September,1,1.1.01,Cereals and products,3.11,2.54,2.9,,
2018,October,1,1.1.01,Cereals and products,2.5,2.76,2.59,,
2018,November,1,1.1.01,Cereals and products,0.59,2.83,1.25,,
2018,December,1,1.1.01,Cereals and products,0.51,3.05,1.25,,
2019,January,1,1.1.01,Cereals and products,0,2.75,0.81,,
2019,February,1,1.1.01,Cereals and products,0.29,3.41,1.25,,
2019,March,1,1.1.01,Cereals and products,0.07,3.48,1.17,,
2019,April,1,1.1.01,Cereals and products,0,3.7,1.17,,
2019,May,1,1.1.01,Cereals and products,0,4,1.24,,
2019,June,1,1.1.01,Cereals and products,0.15,3.99,1.31,,
2019,July,1,1.1.01,Cereals and products,0,4.28,1.31,,
2019,August,1,1.1.01,Cereals and products,0,4.1,1.3,,
2019,September,1,1.1.01,Cereals and products,0.5,4.16,1.66,,
2019,October,1,1.1.01,Cereals and products,1.22,4.29,2.16,,
2019,November,1,1.1.01,Cereals and products,3.43,4.34,3.71,,
2019,December,1,1.1.01,Cereals and products,4.16,4.62,4.36,,
2020,January,1,1.1.01,Cereals and products,5.2,5.28,5.25,,
2020,February,1,1.1.01,Cereals and products,5.41,4.88,5.23,,
2020,March,1,1.1.01,Cereals and products,5.48,4.87,5.3,,
2020,June,1,1.1.01,Cereals and products,7.55,8.53,7.86,,
2020,July,1,1.1.01,Cereals and products,6.65,7.21,6.89,,
2020,August,1,1.1.01,Cereals and products,5.53,6.62,5.92,,
2020,September,1,1.1.01,Cereals and products,4.21,5.54,4.68,,
2020,October,1,1.1.01,Cereals and products,3.12,4.32,3.53,,
2020,November,1,1.1.01,Cereals and products,1.97,3.4,2.46,,
2020,December,1,1.1.01,Cereals and products,0.42,2.14,0.98,,
2021,January,1,1.1.01,Cereals and products,-0.56,1.51,0.14,,
2021,February,1,1.1.01,Cereals and products,-0.97,0.96,-0.35,,
2021,March,1,1.1.01,Cereals and products,-1.32,0.68,-0.69,,
2021,April,1,1.1.01,Cereals and products,-3.06,-2.77,-2.96,,
2021,May,1,1.1.01,Cereals and products,-1.63,-1.06,-1.42,,
2021,June,1,1.1.01,Cereals and products,-1.75,-2.29,-1.94,,
2021,July,1,1.1.01,Cereals and products,-1.69,-1.65,-1.68,,
2021,August,1,1.1.01,Cereals and products,-1.36,-1.52,-1.42,,
2021,September,1,1.1.01,Cereals and products,-0.41,-0.86,-0.61,,
2021,October,1,1.1.01,Cereals and products,0.48,0.27,0.41,,
2021,November,1,1.1.01,Cereals and products,1.59,1.34,1.51,,
2021,December,1,1.1.01,Cereals and products,2.79,2.43,2.62,,
2022,January,1,1.1.01,Cereals and products,3.78,2.98,3.46,,
2022,February,1,1.1.01,Cereals and products,4.2,3.32,3.95,,
2022,March,1,1.1.01,Cereals and products,5.4,4.2,5,,
2022,April,1,1.1.01,Cereals and products,6.38,5.28,5.96,,
2022,May,1,1.1.01,Cereals and products,5.38,5.31,5.33,,
2022,June,1,1.1.01,Cereals and products,5.63,5.56,5.66,,
2022,July,1,1.1.01,Cereals and products,6.96,6.84,6.9,,
2022,August,1,1.1.01,Cereals and products,10.08,8.65,9.57,,
2022,September,1,1.1.01,Cereals and products,12.04,10.45,11.53,,
2022,October,1,1.1.01,Cereals and products,12.73,10.86,12.08,,
2022,November,1,1.1.01,Cereals and products,13.61,11.52,12.96,,
2022,December,1,1.1.01,Cereals and products,14.52,12.27,13.79,,
2023,January,1,1.1.01,Cereals and products,17.33,13.86,16.25,,
2023,February,1,1.1.01,Cereals and products,17.81,14.62,16.73,,
2023,March,1,1.1.01,Cereals and products,16.05,13.66,15.27,,
2023,April,1,1.1.01,Cereals and products,14.16,12.48,13.67,,
2023,May,1,1.1.01,Cereals and products,13.28,11.49,12.72,,
2023,June,1,1.1.01,Cereals and products,13.39,11.56,12.77,,
2023,July,1,1.1.01,Cereals and products,13.72,11.61,13.04,,
2023,August,1,1.1.01,Cereals and products,12.23,10.92,11.85,,
2023,September,1,1.1.01,Cereals and products,11.36,9.95,10.95,,
2023,October,1,1.1.01,Cereals and products,11.11,9.8,10.71,,
2023,November,1,1.1.01,Cereals and products,10.72,9.38,10.27,,
2023,December,1,1.1.01,Cereals and products,10.31,9.05,9.93,,
2024,January,1,1.1.01,Cereals and products,7.76,7.96,7.83,,
2024,February,1,1.1.01,Cereals and products,7.59,7.72,7.65,,
2024,March,1,1.1.01,Cereals and products,8.61,7.9,8.37,,
2024,April,1,1.1.01,Cereals and products,8.94,8.07,8.63,,
2024,May,1,1.1.01,Cereals and products,8.95,8.19,8.69,,
2024,June,1,1.1.01,Cereals and products,9,8.14,8.75,,
2024,July,1,1.1.01,Cereals and products,8.44,7.54,8.14,,
2024,August,1,1.1.01,Cereals and products,7.6,6.73,7.31,,
2024,September,1,1.1.01,Cereals and products,7.11,6.34,6.84,,
2024,October,1,1.1.01,Cereals and products,7.27,6.24,6.94,,
2024,November,1,1.1.01,Cereals and products,7.2,6.13,6.88,,
2024,December,1,1.1.01,Cereals and products,6.82,5.87,6.51,,
2025,January,1,1.1.01,Cereals and products,6.56,5.56,6.24,,
2025,February,1,1.1.01,Cereals and products,6.36,5.47,6.1,,
2025,March,1,1.1.01,Cereals and products,6.08,5.52,5.93,,
2025,April,1,1.1.01,Cereals and products,5.4,5.13,5.35,,
2025,May,1,1.1.01,Cereals and products,4.82,4.66,4.77,,
2014,January,1,1.1.02,Meat and fish,10.16,11.82,10.72,,
2014,February,1,1.1.02,Meat and fish,8.28,8.06,8.17,,
2014,March,1,1.1.02,Meat and fish,8.55,8.98,8.75,,
2014,April,1,1.1.02,Meat and fish,8.58,7.32,8.12,,
2014,May,1,1.1.02,Meat and fish,9.47,8.67,9.25,,
2014,June,1,1.1.02,Meat and fish,8.47,4.83,7.14,,
2014,July,1,1.1.02,Meat and fish,6.61,6.04,6.44,,
2014,August,1,1.1.02,Meat and fish,6.41,5.73,6.14,,
2014,September,1,1.1.02,Meat and fish,5.79,5.29,5.65,,
2014,October,1,1.1.02,Meat and fish,6.15,6.77,6.45,,
2014,November,1,1.1.02,Meat and fish,6.7,8,7.19,,
2014,December,1,1.1.02,Meat and fish,5.61,5.59,5.57,,
2015,January,1,1.1.02,Meat and fish,5.12,2.87,4.29,,
2015,February,1,1.1.02,Meat and fish,5.69,3.69,4.95,,
2015,March,1,1.1.02,Meat and fish,5.59,4.37,5.11,,
2015,April,1,1.1.02,Meat and fish,5.55,5.34,5.42,,
2015,May,1,1.1.02,Meat and fish,5.74,4.51,5.26,,
2015,June,1,1.1.02,Meat and fish,7.24,6.75,7.07,,
2015,July,1,1.1.02,Meat and fish,7.35,6.25,6.94,,
2015,August,1,1.1.02,Meat and fish,6.92,3.46,5.63,,
